,/data/provider/renet/2017-12-31/02/3965_2017-12-31_04-53-30_5a47d29a71158.xml
2252232,/data/provider/renet/2017-12-27/10/627_2017-12-27_12-53-04_5a42fd00d9085.xml
19482905,/data/provider/renet/2017-12-19/14/71-334_2017-12-19_16-55-14_5a38a9c207972.xml
19145705,/data/provider/renet/2017-12-30/10/2085_2017-12-30_12-53-46_5a46f1aaea752.xml
17709915,/data/provider/renet/2017-12-22/10/2085_2017-12-22_12-53-18_5a3c658e83124.xml
18927925,/data/provider/renet/2017-12-27/14/6914_2017-12-27_16-54-07_5a43357f90f3c.xml
19397415,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19315665,/data/provider/renet/2017-12-19/10/10005182_2017-12-19_12-54-59_5a387173cfe6b.xml
19399675,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
17877625,/data/provider/renet/2017-12-22/10/2085_2017-12-22_12-53-41_5a3c65a55b6f8.xml
18764375,/data/provider/renet/2017-12-11/10/1026_2017-12-11_12-54-27_5a2de55356140.xml
5275342,/data/provider/renet/2017-12-01/10/627_2017-12-01_12-53-07_5a20b60327b18.xml
19136055,/data/provider/renet/2017-12-27/18/2085_2017-12-27_20-53-14_5a436d8a9e746.xml
19397425,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19399685,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19399655,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19196005,/data/provider/renet/2017-12-15/14/10016383_2017-12-15_16-56-20_5a33640480750.xml
19270725,/data/provider/renet/2017-12-22/10/71-336_2017-12-22_12-56-59_5a3c666bd48c2.xml
18406275,/data/provider/renet/2017-12-20/10/71-334_2017-12-20_12-54-55_5a39c2ef2be01.xml
19397405,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19399665,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19377175,/data/provider/renet/2017-12-02/10/1026_2017-12-02_12-54-00_5a2207b86d721.xml
13033923,/data/provider/renet/2017-12-29/14/627_2017-12-29_16-53-03_5a45d83ff3bd6.xml
19397455,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19370685,/data/provider/renet/2017-12-30/14/627_2017-12-30_16-53-02_5a4729bed4ed8.xml
9128783,/data/provider/renet/2017-12-19/10/1026_2017-12-19_12-54-14_5a387146da8be.xml
18881975,/data/provider/renet/2017-12-21/14/627_2017-12-21_16-53-12_5a3b4c4829dcb.xml
19152495,/data/provider/renet/2017-12-14/10/2085_2017-12-14_12-56-00_5a31da3039678.xml
18059915,/data/provider/renet/2017-12-29/10/627_2017-12-29_12-53-04_5a45a0006c56f.xml
19397465,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19214345,/data/provider/renet/2017-12-17/06/1026_2017-12-17_08-53-17_5a3595cd66de2.xml
12446803,/data/provider/renet/2017-12-12/10/10014772_2017-12-12_12-56-05_5a2f3735ee277.xml
19399695,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19397435,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19013895,/data/provider/renet/2017-12-20/14/10016383_2017-12-20_16-55-16_5a39fb4449c78.xml
19418995,/data/provider/renet/2017-12-13/10/71-334_2017-12-13_12-56-06_5a3088b66749d.xml
19397445,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19402135,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
18815675,/data/provider/renet/2017-12-13/06/615-135_2017-12-13_08-53-52_5a304ff05ca06.xml
19402145,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
18290085,/data/provider/renet/2017-12-13/10/71-336_2017-12-13_12-57-49_5a30891d058f4.xml
14741025,/data/provider/renet/2017-12-22/10/2085_2017-12-22_12-53-21_5a3c6591bc645.xml
19402155,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
18708205,/data/provider/renet/2017-12-30/18/1026_2017-12-30_20-53-46_5a47622a2d0a4.xml
18528505,/data/provider/renet/2017-12-22/22/2085_2017-12-23_00-53-23_5a3d0e537a2e4.xml
16837225,/data/provider/renet/2017-12-21/14/2085_2017-12-21_16-53-32_5a3b4c5cb597f.xml
19105215,/data/provider/renet/2017-12-29/22/71-328_2017-12-30_00-54-34_5a46491a30f49.xml
